message,label
"Is this David? I have a business proposal that could earn you extra income, let's talk when free.",SUSPICIOUS
Your flight Sarah is confirmed for departure at 6 PM.,SAFE
Reminder: your dentist appointment is scheduled for 9 AM on Friday.,SAFE
Your OTP for logging into your account is 627981. Do not share this with anyone.,SAFE
"Is this Emma? I have a business proposal that could earn you extra income, let's talk when free.",SUSPICIOUS
Your electricity bill of $5000 is due on the 15th. Pay via the official app or website.,SAFE
Your electricity bill of $250 is due on the 15th. Pay via the official app or website.,SAFE
"Hi, this is Chase Bank security. Suspicious login detected. Verify identity now: account-update-portal.net or account will be locked.",SCAM
You are pre-approved for a loan of $2500 with 0% interest! Apply instantly at www.reward-center.co,SCAM
You are pre-approved for a loan of $5000 with 0% interest! Apply instantly at account-update-portal.net,SCAM
The package you ordered has been delivered to your doorstep.,SAFE
We tried to deliver your parcel but failed. Reschedule and pay $100 redelivery fee: www.reward-center.co,SCAM
"Don't miss out! Flash sale ends tonight, grab your iPhone 16 before stock runs out: account-update-portal.net",SUSPICIOUS
URGENT: Your bank account has been suspended. Verify your details immediately at www.reward-center.co or lose access.,SCAM
Your order #508157 has been shipped and will arrive by 5 PM.,SAFE
Your subscription payment of $300 failed. Update your card details urgently at tinyurl.com/prize-win,SCAM
Your feedback is needed! Complete this short survey and get a chance to win a gift card: bit.ly/claim-now,SUSPICIOUS
You've won a lottery of $150! Send your bank details to claim your winnings today.,SCAM
"Hey it's David, I'm stuck abroad and need $50 urgently. Please send via account-update-portal.net, will pay back!",SCAM
Your order #268865 has been shipped and will arrive by 11 AM.,SAFE
"Hey, are we still meeting for lunch at 5 PM tomorrow?",SAFE
Your OTP for logging into your account is 80062. Do not share this with anyone.,SAFE
"Special discount just for you: 3000% off your next order, use code SAVE3000 at checkout.",SUSPICIOUS
Your account will be permanently closed in 24 hours. Confirm your password at tinyurl.com/prize-win to keep it active.,SCAM
Limited slots! Get 300% cashback instantly when you register your card at www.reward-center.co,SCAM
"Your card ending in 619439 was charged $750. If this wasn't you, click tinyurl.com/prize-win to dispute now.",SCAM
Your subscription payment of $10000 failed. Update your card details urgently at account-update-portal.net,SCAM
"Thanks for the help moving apartments, couldn't have done it without you.",SAFE
Your subscription payment of $20 failed. Update your card details urgently at www.reward-center.co,SCAM
IRS Notice: You have a pending refund of $10. Submit your bank info at tinyurl.com/prize-win to receive it.,SCAM
Your feedback is needed! Complete this short survey and get a chance to win a gift card: verify-now-safe.info,SUSPICIOUS
Your feedback is needed! Complete this short survey and get a chance to win a gift card: www.reward-center.co,SUSPICIOUS
URGENT: Your bank account has been suspended. Verify your details immediately at verify-now-safe.info or lose access.,SCAM
Your Netflix password expires today. Click www.reward-center.co immediately to avoid being locked out permanently.,SCAM
Congrats on the new job! We should celebrate soon.,SAFE
"Reminder: your bank trial ends soon. Upgrade now to keep your benefits, offer valid this week only.",SUSPICIOUS
Limited slots! Get 20% cashback instantly when you register your card at tinyurl.com/prize-win,SCAM
Limited slots! Get 500% cashback instantly when you register your card at www.reward-center.co,SCAM
Your order #382884 has been shipped and will arrive by noon.,SAFE
"You've been selected for a free laptop! Claim now: verify-now-safe.info. Limited time offer, act fast!",SCAM
Your electricity bill of $10000 is due on the 15th. Pay via the official app or website.,SAFE
Congratulations! You have WON $30! Click bit.ly/claim-now now to claim your prize before it expires.,SCAM
"We're updating our records, please confirm your date of birth and address at your earliest convenience.",SUSPICIOUS
"Hi, I saw your profile and think you'd be a great fit for a part-time role. Interested? Reply for details.",SUSPICIOUS
Your friend invited you to try Netflix. Sign up now and both of you get a bonus.,SUSPICIOUS
"Job offer: Earn $40/day working from home, no experience needed. Sign up now: www.reward-center.co",SCAM
Reminder: your dentist appointment is scheduled for 2 PM on Friday.,SAFE
Don't forget the team meeting today at 5 PM in the main conference room.,SAFE
Your friend invited you to try bank. Sign up now and both of you get a bonus.,SUSPICIOUS
Your monthly statement is now available in your online banking portal.,SAFE
Reminder: your dentist appointment is scheduled for 6:30 PM on Friday.,SAFE
Your subscription payment of $40 failed. Update your card details urgently at verify-now-safe.info,SCAM
"Dear customer, your package could not be delivered. Pay a customs fee of $7500 here: bit.ly/claim-now",SCAM
"Your card ending in 649564 was charged $15. If this wasn't you, click tinyurl.com/prize-win to dispute now.",SCAM
Your feedback is needed! Complete this short survey and get a chance to win a gift card: account-update-portal.net,SUSPICIOUS
This is your last chance to claim your $300 government stimulus. Apply here: bit.ly/claim-now,SCAM
This is your last chance to claim your $1500 government stimulus. Apply here: www.reward-center.co,SCAM
"Let's catch up this weekend, are you free on Saturday?",SAFE
You are pre-approved for a loan of $300 with 0% interest! Apply instantly at tinyurl.com/prize-win,SCAM
"Special discount just for you: 10% off your next order, use code SAVE10 at checkout.",SUSPICIOUS
"Special discount just for you: 150% off your next order, use code SAVE150 at checkout.",SUSPICIOUS
"Meeting rescheduled to 10 AM, please update your calendar.",SAFE
This is your last chance to claim your $2000 government stimulus. Apply here: verify-now-safe.info,SCAM
Your friend invited you to try Instagram. Sign up now and both of you get a bonus.,SUSPICIOUS
"You've been selected for a free iPhone 16! Claim now: tinyurl.com/prize-win. Limited time offer, act fast!",SCAM
FINAL NOTICE: You owe $30 in unpaid taxes. Pay now at verify-now-safe.info to avoid arrest.,SCAM
FINAL NOTICE: You owe $25 in unpaid taxes. Pay now at account-update-portal.net to avoid arrest.,SCAM
"Dear customer, your package could not be delivered. Pay a customs fee of $150 here: www.reward-center.co",SCAM
Your order #904083 has been shipped and will arrive by 2 PM.,SAFE
"Is this Sarah? I have a business proposal that could earn you extra income, let's talk when free.",SUSPICIOUS
Your bank account has been compromised. Reset your password immediately: secure-verify-account.com,SCAM
Good morning! Don't forget to bring your laptop charger to class.,SAFE
Your device has a virus! Download laptop now at account-update-portal.net to protect your data before it's too late.,SCAM
Your flight David is confirmed for departure at 6:30 PM.,SAFE
"Is this Priya? I have a business proposal that could earn you extra income, let's talk when free.",SUSPICIOUS
URGENT: Your bank account has been suspended. Verify your details immediately at secure-verify-account.com or lose access.,SCAM
We noticed you haven't logged in recently. Click here to reactivate your rewards points: www.reward-center.co,SUSPICIOUS
Your OTP for logging into your account is 718611. Do not share this with anyone.,SAFE
Your Instagram account has been compromised. Reset your password immediately: tinyurl.com/prize-win,SCAM
"Hey, are we still meeting for lunch at 8 PM tomorrow?",SAFE
"Meeting rescheduled to 2 PM, please update your calendar.",SAFE
You have an unclaimed inheritance of $5000. Contact us immediately at account-update-portal.net to process the transfer.,SCAM
CONGRATULATIONS! Your number was randomly selected to win a iPhone 16. Reply YES to claim your reward now.,SCAM
Your OTP for logging into your account is 120366. Do not share this with anyone.,SAFE
Your OTP for logging into your account is 681081. Do not share this with anyone.,SAFE
Act now! Only 2 hours left to claim your free smartwatch. Click here: account-update-portal.net,SCAM
"Don't miss out! Flash sale ends tonight, grab your smartwatch before stock runs out: secure-verify-account.com",SUSPICIOUS
We tried to deliver your parcel but failed. Reschedule and pay $5000 redelivery fee: verify-now-safe.info,SCAM
Don't forget the team meeting today at 6 PM in the main conference room.,SAFE
Your order #495241 has been shipped and will arrive by 10 AM.,SAFE
Your electricity bill of $300 is due on the 15th. Pay via the official app or website.,SAFE
IRS Notice: You have a pending refund of $1000. Submit your bank info at www.reward-center.co to receive it.,SCAM
We noticed you haven't logged in recently. Click here to reactivate your rewards points: account-update-portal.net,SUSPICIOUS
Your Amazon Prime membership is expiring. Renew today to avoid interruption of service.,SUSPICIOUS
"Dear customer, your package could not be delivered. Pay a customs fee of $20 here: www.reward-center.co",SCAM
We tried to deliver your parcel but failed. Reschedule and pay $50 redelivery fee: bit.ly/claim-now,SCAM
Your account will be permanently closed in 24 hours. Confirm your password at secure-verify-account.com to keep it active.,SCAM
"Special discount just for you: 2000% off your next order, use code SAVE2000 at checkout.",SUSPICIOUS
Act now! Only 2 hours left to claim your free smartwatch. Click here: verify-now-safe.info,SCAM
"Special discount just for you: 1500% off your next order, use code SAVE1500 at checkout.",SUSPICIOUS
"Job offer: Earn $50/day working from home, no experience needed. Sign up now: www.reward-center.co",SCAM
Your device has a virus! Download iPhone 16 now at bit.ly/claim-now to protect your data before it's too late.,SCAM
"Don't miss out! Flash sale ends tonight, grab your iPhone 16 before stock runs out: verify-now-safe.info",SUSPICIOUS
"Special discount just for you: 200% off your next order, use code SAVE200 at checkout.",SUSPICIOUS
Your PayPal membership is expiring. Renew today to avoid interruption of service.,SUSPICIOUS
You have an unclaimed inheritance of $750. Contact us immediately at account-update-portal.net to process the transfer.,SCAM
Your feedback is needed! Complete this short survey and get a chance to win a gift card: tinyurl.com/prize-win,SUSPICIOUS
Your account will be permanently closed in 24 hours. Confirm your password at www.reward-center.co to keep it active.,SCAM
Your friend invited you to try PayPal. Sign up now and both of you get a bonus.,SUSPICIOUS
"Hey it's Sarah, I'm stuck abroad and need $100 urgently. Please send via tinyurl.com/prize-win, will pay back!",SCAM
"Job offer: Earn $300/day working from home, no experience needed. Sign up now: www.reward-center.co",SCAM
Limited slots! Get 150% cashback instantly when you register your card at verify-now-safe.info,SCAM
"Special discount just for you: 1000% off your next order, use code SAVE1000 at checkout.",SUSPICIOUS
Don't forget the team meeting today at 4 PM in the main conference room.,SAFE
Your PayPal account has been compromised. Reset your password immediately: account-update-portal.net,SCAM
CONGRATULATIONS! Your number was randomly selected to win a gift card. Reply YES to claim your reward now.,SCAM
"Don't miss out! Flash sale ends tonight, grab your PlayStation 5 before stock runs out: secure-verify-account.com",SUSPICIOUS
Your OTP for logging into your account is 755787. Do not share this with anyone.,SAFE
You have an unclaimed inheritance of $5000. Contact us immediately at bit.ly/claim-now to process the transfer.,SCAM
Don't forget the team meeting today at 9 AM in the main conference room.,SAFE
Your flight Maria is confirmed for departure at 2 PM.,SAFE
"Don't miss out! Flash sale ends tonight, grab your smartwatch before stock runs out: bit.ly/claim-now",SUSPICIOUS
IRS Notice: You have a pending refund of $750. Submit your bank info at secure-verify-account.com to receive it.,SCAM
You've won a lottery of $10! Send your bank details to claim your winnings today.,SCAM
"Meeting rescheduled to 4 PM, please update your calendar.",SAFE
Your order #246925 has been shipped and will arrive by 9 AM.,SAFE
"Hello, this is Wells Fargo customer care. Can you confirm your last transaction amount for verification?",SUSPICIOUS
Act now! Only 2 hours left to claim your free gift card. Click here: account-update-portal.net,SCAM
"Job offer: Earn $15/day working from home, no experience needed. Sign up now: www.reward-center.co",SCAM
SECURITY ALERT: Unusual activity detected on your account. Verify now at bit.ly/claim-now to avoid suspension.,SCAM
Your Instagram membership is expiring. Renew today to avoid interruption of service.,SUSPICIOUS
Your order #704724 has been shipped and will arrive by 10 AM.,SAFE
You are pre-approved for a loan of $30 with 0% interest! Apply instantly at secure-verify-account.com,SCAM
Your feedback is needed! Complete this short survey and get a chance to win a gift card: secure-verify-account.com,SUSPICIOUS
"Is this John? I have a business proposal that could earn you extra income, let's talk when free.",SUSPICIOUS
Your flight Sarah is confirmed for departure at 9 AM.,SAFE
CONGRATULATIONS! Your number was randomly selected to win a voucher. Reply YES to claim your reward now.,SCAM
"Don't miss out! Flash sale ends tonight, grab your iPhone 16 before stock runs out: secure-verify-account.com",SUSPICIOUS
Your email account has been compromised. Reset your password immediately: verify-now-safe.info,SCAM
"Dear customer, your package could not be delivered. Pay a customs fee of $200 here: www.reward-center.co",SCAM
"Hello, this is the bank customer care. Can you confirm your last transaction amount for verification?",SUSPICIOUS
Reminder: your dentist appointment is scheduled for 8 PM on Friday.,SAFE
Your flight David is confirmed for departure at 4 PM.,SAFE
Your electricity bill of $30 is due on the 15th. Pay via the official app or website.,SAFE
"Meeting rescheduled to 5 PM, please update your calendar.",SAFE
FINAL NOTICE: You owe $2000 in unpaid taxes. Pay now at secure-verify-account.com to avoid arrest.,SCAM
"Don't miss out! Flash sale ends tonight, grab your gift card before stock runs out: verify-now-safe.info",SUSPICIOUS
You are pre-approved for a loan of $5000 with 0% interest! Apply instantly at verify-now-safe.info,SCAM
Your subscription payment of $200 failed. Update your card details urgently at secure-verify-account.com,SCAM
"Hey, are we still meeting for lunch at 8 AM tomorrow?",SAFE
Your flight Emma is confirmed for departure at 10 AM.,SAFE
"Don't miss out! Flash sale ends tonight, grab your PlayStation 5 before stock runs out: bit.ly/claim-now",SUSPICIOUS
FINAL NOTICE: You owe $250 in unpaid taxes. Pay now at secure-verify-account.com to avoid arrest.,SCAM
"You've been selected for a free iPhone 16! Claim now: bit.ly/claim-now. Limited time offer, act fast!",SCAM
Your order #769804 has been shipped and will arrive by 2 PM.,SAFE
Congratulations! You have WON $750! Click www.reward-center.co now to claim your prize before it expires.,SCAM
IRS Notice: You have a pending refund of $200. Submit your bank info at account-update-portal.net to receive it.,SCAM
Your flight John is confirmed for departure at 10 AM.,SAFE
"Is this Ahmed? I have a business proposal that could earn you extra income, let's talk when free.",SUSPICIOUS
SECURITY ALERT: Unusual activity detected on your account. Verify now at secure-verify-account.com to avoid suspension.,SCAM
Your flight John is confirmed for departure at 5 PM.,SAFE
"Don't miss out! Flash sale ends tonight, grab your laptop before stock runs out: bit.ly/claim-now",SUSPICIOUS
Your electricity bill of $20 is due on the 15th. Pay via the official app or website.,SAFE
Your subscription payment of $300 failed. Update your card details urgently at www.reward-center.co,SCAM
"Reminder: your email trial ends soon. Upgrade now to keep your benefits, offer valid this week only.",SUSPICIOUS
You have an unclaimed inheritance of $150. Contact us immediately at account-update-portal.net to process the transfer.,SCAM
"Meeting rescheduled to 1 PM, please update your calendar.",SAFE
Your Amazon Prime account has been compromised. Reset your password immediately: www.reward-center.co,SCAM
We noticed you haven't logged in recently. Click here to reactivate your rewards points: tinyurl.com/prize-win,SUSPICIOUS
IRS Notice: You have a pending refund of $5000. Submit your bank info at account-update-portal.net to receive it.,SCAM
We tried to deliver your parcel but failed. Reschedule and pay $100 redelivery fee: bit.ly/claim-now,SCAM
"Don't miss out! Flash sale ends tonight, grab your laptop before stock runs out: www.reward-center.co",SUSPICIOUS
"Your card ending in 328704 was charged $200. If this wasn't you, click tinyurl.com/prize-win to dispute now.",SCAM
Your OTP for logging into your account is 214446. Do not share this with anyone.,SAFE
"Don't miss out! Flash sale ends tonight, grab your smartwatch before stock runs out: www.reward-center.co",SUSPICIOUS
Limited slots! Get 20% cashback instantly when you register your card at secure-verify-account.com,SCAM
"Reminder: your Instagram trial ends soon. Upgrade now to keep your benefits, offer valid this week only.",SUSPICIOUS
"Reminder: your Netflix trial ends soon. Upgrade now to keep your benefits, offer valid this week only.",SUSPICIOUS
"Hey, are we still meeting for lunch at 2 PM tomorrow?",SAFE
"Don't miss out! Flash sale ends tonight, grab your voucher before stock runs out: bit.ly/claim-now",SUSPICIOUS
Act now! Only 2 hours left to claim your free iPhone 16. Click here: account-update-portal.net,SCAM
"Dear customer, your package could not be delivered. Pay a customs fee of $750 here: account-update-portal.net",SCAM
Your electricity bill of $25 is due on the 15th. Pay via the official app or website.,SAFE
Your device has a virus! Download PlayStation 5 now at secure-verify-account.com to protect your data before it's too late.,SCAM
"Hi, this is Chase Bank security. Suspicious login detected. Verify identity now: verify-now-safe.info or account will be locked.",SCAM
Your friend invited you to try email. Sign up now and both of you get a bonus.,SUSPICIOUS
"Don't miss out! Flash sale ends tonight, grab your gift card before stock runs out: account-update-portal.net",SUSPICIOUS
"Special discount just for you: 10000% off your next order, use code SAVE10000 at checkout.",SUSPICIOUS
"Special discount just for you: 300% off your next order, use code SAVE300 at checkout.",SUSPICIOUS
We noticed you haven't logged in recently. Click here to reactivate your rewards points: bit.ly/claim-now,SUSPICIOUS
Your OTP for logging into your account is 404402. Do not share this with anyone.,SAFE
"Meeting rescheduled to 3 PM, please update your calendar.",SAFE
Your order #5548 has been shipped and will arrive by 9 PM.,SAFE
Reminder: your dentist appointment is scheduled for 7 PM on Friday.,SAFE
FINAL NOTICE: You owe $750 in unpaid taxes. Pay now at secure-verify-account.com to avoid arrest.,SCAM
"Special discount just for you: 30% off your next order, use code SAVE30 at checkout.",SUSPICIOUS
You are pre-approved for a loan of $2500 with 0% interest! Apply instantly at secure-verify-account.com,SCAM
"Your card ending in 759490 was charged $500. If this wasn't you, click www.reward-center.co to dispute now.",SCAM
You have an unclaimed inheritance of $200. Contact us immediately at secure-verify-account.com to process the transfer.,SCAM
"Meeting rescheduled to 6:30 PM, please update your calendar.",SAFE
"Hello, this is your bank customer care. Can you confirm your last transaction amount for verification?",SUSPICIOUS
"Hey it's Priya, I'm stuck abroad and need $50 urgently. Please send via www.reward-center.co, will pay back!",SCAM
Your device has a virus! Download smartwatch now at account-update-portal.net to protect your data before it's too late.,SCAM
You have an unclaimed inheritance of $100. Contact us immediately at tinyurl.com/prize-win to process the transfer.,SCAM
You've won a lottery of $100! Send your bank details to claim your winnings today.,SCAM
Your subscription payment of $10000 failed. Update your card details urgently at www.reward-center.co,SCAM
"Meeting rescheduled to noon, please update your calendar.",SAFE
Your order #278238 has been shipped and will arrive by 3 PM.,SAFE
FINAL NOTICE: You owe $300 in unpaid taxes. Pay now at bit.ly/claim-now to avoid arrest.,SCAM
Your email password expires today. Click bit.ly/claim-now immediately to avoid being locked out permanently.,SCAM
SECURITY ALERT: Unusual activity detected on your account. Verify now at verify-now-safe.info to avoid suspension.,SCAM
"Dear customer, your package could not be delivered. Pay a customs fee of $250 here: www.reward-center.co",SCAM
Your subscription payment of $10000 failed. Update your card details urgently at secure-verify-account.com,SCAM
Don't forget the team meeting today at noon in the main conference room.,SAFE
"Hi, this is the bank security. Suspicious login detected. Verify identity now: account-update-portal.net or account will be locked.",SCAM
You've won a lottery of $1000! Send your bank details to claim your winnings today.,SCAM
Your flight Emma is confirmed for departure at 4 PM.,SAFE
"Dear customer, your package could not be delivered. Pay a customs fee of $25 here: secure-verify-account.com",SCAM
"Hey, are we still meeting for lunch at 6:30 PM tomorrow?",SAFE
Your order #834729 has been shipped and will arrive by 3 PM.,SAFE
We tried to deliver your parcel but failed. Reschedule and pay $20 redelivery fee: verify-now-safe.info,SCAM
"Meeting rescheduled to 9 PM, please update your calendar.",SAFE
SECURITY ALERT: Unusual activity detected on your account. Verify now at tinyurl.com/prize-win to avoid suspension.,SCAM
Your flight Alex is confirmed for departure at 6 PM.,SAFE
"Your card ending in 548091 was charged $5000. If this wasn't you, click secure-verify-account.com to dispute now.",SCAM
We tried to deliver your parcel but failed. Reschedule and pay $25 redelivery fee: account-update-portal.net,SCAM
You are pre-approved for a loan of $30 with 0% interest! Apply instantly at bit.ly/claim-now,SCAM
This is your last chance to claim your $5000 government stimulus. Apply here: account-update-portal.net,SCAM
Reminder: your dentist appointment is scheduled for noon on Friday.,SAFE
Your order #954075 has been shipped and will arrive by 11 AM.,SAFE
"Hi, this is HSBC security. Suspicious login detected. Verify identity now: bit.ly/claim-now or account will be locked.",SCAM
"Special discount just for you: 20% off your next order, use code SAVE20 at checkout.",SUSPICIOUS
Your electricity bill of $1500 is due on the 15th. Pay via the official app or website.,SAFE
Your account will be permanently closed in 24 hours. Confirm your password at account-update-portal.net to keep it active.,SCAM
Your Netflix password expires today. Click tinyurl.com/prize-win immediately to avoid being locked out permanently.,SCAM
Your OTP for logging into your account is 859835. Do not share this with anyone.,SAFE
Limited slots! Get 15% cashback instantly when you register your card at bit.ly/claim-now,SCAM
"Hey it's Ahmed, I'm stuck abroad and need $150 urgently. Please send via tinyurl.com/prize-win, will pay back!",SCAM
Your bank password expires today. Click www.reward-center.co immediately to avoid being locked out permanently.,SCAM
Your OTP for logging into your account is 198132. Do not share this with anyone.,SAFE
Your order #543752 has been shipped and will arrive by noon.,SAFE
You are pre-approved for a loan of $750 with 0% interest! Apply instantly at bit.ly/claim-now,SCAM
"Hi, this is Bank of America security. Suspicious login detected. Verify identity now: verify-now-safe.info or account will be locked.",SCAM
Your account will be permanently closed in 24 hours. Confirm your password at bit.ly/claim-now to keep it active.,SCAM
"Special discount just for you: 7500% off your next order, use code SAVE7500 at checkout.",SUSPICIOUS
"Hey it's David, I'm stuck abroad and need $40 urgently. Please send via verify-now-safe.info, will pay back!",SCAM
"Hi, this is your bank security. Suspicious login detected. Verify identity now: account-update-portal.net or account will be locked.",SCAM
This is your last chance to claim your $200 government stimulus. Apply here: tinyurl.com/prize-win,SCAM
Act now! Only 2 hours left to claim your free voucher. Click here: secure-verify-account.com,SCAM
"You've been selected for a free laptop! Claim now: bit.ly/claim-now. Limited time offer, act fast!",SCAM
Don't forget the team meeting today at 10 AM in the main conference room.,SAFE
"Job offer: Earn $25/day working from home, no experience needed. Sign up now: secure-verify-account.com",SCAM
Don't forget the team meeting today at 3 PM in the main conference room.,SAFE
We tried to deliver your parcel but failed. Reschedule and pay $1000 redelivery fee: account-update-portal.net,SCAM
"Your card ending in 948885 was charged $750. If this wasn't you, click tinyurl.com/prize-win to dispute now.",SCAM
We noticed you haven't logged in recently. Click here to reactivate your rewards points: verify-now-safe.info,SUSPICIOUS
"Job offer: Earn $20/day working from home, no experience needed. Sign up now: account-update-portal.net",SCAM
"Dear customer, your package could not be delivered. Pay a customs fee of $3000 here: verify-now-safe.info",SCAM
Congratulations! You have WON $40! Click www.reward-center.co now to claim your prize before it expires.,SCAM
"Hey it's Emma, I'm stuck abroad and need $2000 urgently. Please send via secure-verify-account.com, will pay back!",SCAM
"Hi, this is Bank of America security. Suspicious login detected. Verify identity now: secure-verify-account.com or account will be locked.",SCAM
You've won a lottery of $3000! Send your bank details to claim your winnings today.,SCAM
Reminder: your dentist appointment is scheduled for 6 PM on Friday.,SAFE
Reminder: your dentist appointment is scheduled for 3 PM on Friday.,SAFE
"Don't miss out! Flash sale ends tonight, grab your iPhone 16 before stock runs out: bit.ly/claim-now",SUSPICIOUS
Your electricity bill of $100 is due on the 15th. Pay via the official app or website.,SAFE
Don't forget the team meeting today at 1 PM in the main conference room.,SAFE
IRS Notice: You have a pending refund of $100. Submit your bank info at tinyurl.com/prize-win to receive it.,SCAM
Your device has a virus! Download PlayStation 5 now at tinyurl.com/prize-win to protect your data before it's too late.,SCAM
Your order #921418 has been shipped and will arrive by 8 AM.,SAFE
Your OTP for logging into your account is 317298. Do not share this with anyone.,SAFE
Your electricity bill of $2000 is due on the 15th. Pay via the official app or website.,SAFE
"Don't miss out! Flash sale ends tonight, grab your voucher before stock runs out: account-update-portal.net",SUSPICIOUS
"Hi, this is HSBC security. Suspicious login detected. Verify identity now: account-update-portal.net or account will be locked.",SCAM
Your device has a virus! Download smartwatch now at www.reward-center.co to protect your data before it's too late.,SCAM
Your OTP for logging into your account is 658386. Do not share this with anyone.,SAFE
"Hello, this is Bank of America customer care. Can you confirm your last transaction amount for verification?",SUSPICIOUS
Your OTP for logging into your account is 528611. Do not share this with anyone.,SAFE
This is your last chance to claim your $2500 government stimulus. Apply here: secure-verify-account.com,SCAM
Your flight Priya is confirmed for departure at 6:30 PM.,SAFE
This is your last chance to claim your $1500 government stimulus. Apply here: account-update-portal.net,SCAM
Limited slots! Get 10000% cashback instantly when you register your card at www.reward-center.co,SCAM
"Hey it's Maria, I'm stuck abroad and need $10000 urgently. Please send via account-update-portal.net, will pay back!",SCAM
Your flight Ahmed is confirmed for departure at noon.,SAFE
"Job offer: Earn $150/day working from home, no experience needed. Sign up now: bit.ly/claim-now",SCAM
Congratulations! You have WON $1500! Click secure-verify-account.com now to claim your prize before it expires.,SCAM
"Hey it's Alex, I'm stuck abroad and need $2000 urgently. Please send via bit.ly/claim-now, will pay back!",SCAM
Reminder: your dentist appointment is scheduled for 4 PM on Friday.,SAFE
"Meeting rescheduled to 7 PM, please update your calendar.",SAFE
You are pre-approved for a loan of $750 with 0% interest! Apply instantly at verify-now-safe.info,SCAM
IRS Notice: You have a pending refund of $7500. Submit your bank info at account-update-portal.net to receive it.,SCAM
"Hey it's Alex, I'm stuck abroad and need $100 urgently. Please send via tinyurl.com/prize-win, will pay back!",SCAM
